"","Plot","SampleYear","Elevation","Slope","BurnScar","PRam","Fire","HostCwdMass","PlotCwdMass","DeadHostBiomass"
"126","BS195",2019,579,42,"sober_chalk",1,1,0.3334845502422,0.3334845502422,2108.32583583719
"127","BS196",2023,646,30,"sober_chalk",1,1,27.746799134185,31.156377277409,65053.02646773
"128","BS202",2009,770,37,"sober_chalk",0,1,1.54616941765933,1.54616941765933,NA
"129","BS202",2011,770,37,"sober_chalk",1,1,1.54616941765933,1.54616941765933,63328.5194269784
"130","BS202",2014,770,37,"sober_chalk",1,1,1.54616941765933,2.3181601940669,62927.3294787678
"131","BS202",2019,770,37,"sober_chalk",1,1,1.16247797256404,5.15654693929829,49.5356092793874
"132","BS202",2023,770,37,"sober_chalk",1,1,1.39794799640999,5.39201696314424,NA
"133","BS217",2009,127,30,"sober_chalk",1,1,1.50932597284051,1.50932597284051,16.594369359942
"134","BS217",2011,127,30,"sober_chalk",1,1,1.73770332585815,1.73770332585815,6313.92200206199
"135","BS217",2014,127,30,"sober_chalk",1,1,1.73770332585815,1.73770332585815,7104.98919382383
"136","BS220",2009,231,40,"sober_chalk",1,1,9.71530641887778,10.2899637333344,283.326941260302
"137","BS221",2009,435,30,"sober_chalk",1,1,16.2353731133277,16.2353731133277,157.484629319973
"138","BS221",2010,435,30,"sober_chalk",1,1,16.6153897388914,16.6153897388914,130155.845680965
"139","BS221",2013,435,30,"sober_chalk",1,1,42.1623803642042,42.1623803642042,106219.960297844
"140","BS221",2013,435,30,"sober_chalk",1,1,42.1623803642042,42.1623803642042,106219.960297844
"141","BS221",2018,435,30,"sober_chalk",1,1,0.582087318428453,0.582087318428453,10896.2323428
"142","BS221",2023,435,30,"sober_chalk",1,1,0.460728249423417,0.460728249423417,2300.0057226853
"143","BS222",2009,416,37,"sober_chalk",1,1,117.668111203885,162.05746633148,1053.05904774532
"144","BS224",2009,435,31,"sober_chalk",1,1,1.43441733105435,1.43441733105435,10.1069222188897
"145","BS224",2009,435,31,"sober_chalk",1,1,1.43441733105435,1.43441733105435,10.1069222188897
"146","BS224",2010,435,31,"sober_chalk",1,1,1.34620749061167,1.34620749061167,163064.948585672
"147","BS224",2013,435,31,"sober_chalk",1,1,2.45371030870568,2.45371030870568,163448.315048976
"148","BS224",2018,435,31,"sober_chalk",1,1,1.27069484069235,1.27069484069235,74097.6369164567
"149","BS224",2022,435,31,"sober_chalk",1,1,3.31315437671229,3.31315437671229,12236.7432585358
"150","BS226",2009,474,38,"sober_chalk",1,1,14.5463942803746,28.3209469853047,106596.92503641
"151","BS226",2018,474,38,"sober_chalk",1,1,10.4812699897335,76.3299273219247,4444.80415006077
"152","BS226",2023,474,38,"sober_chalk",1,1,3.23589204353654,81.2397771810962,287.592616890845
"153","BS233",2009,687,38,"chalk",1,1,3.91204177262049,3.91204177262049,NA
"154","BS233",2011,687,38,"chalk",1,1,2.89884145120909,3.36853627674863,66418.0809587931
"155","BS233",2014,687,38,"chalk",1,1,5.32653226061965,25.4281166840575,78144.9042694716
"156","BS233",2019,687,38,"chalk",1,1,8.17742109410122,33.1348031900514,129.354489516965
"157","BS233",2022,687,38,"chalk",1,1,9.92647788556268,37.7653471558257,NA
"158","BS234",2009,555,20,"sober_chalk",1,1,10.1642873867477,10.1642873867477,262.127337424342
"159","BS239",2018,88,35,"control",1,0,0.437690995149947,1.14549704003952,NA
"160","BS241",2023,361,39,"sober_chalk",1,1,28.9650803046562,28.9650803046562,34025.592140839
"161","BS242",2013,403,39,"sober_chalk",1,1,5.80233492323876,5.80233492323876,42586.7134993911
"162","BS242",2018,403,39,"sober_chalk",1,1,37.6863508157729,37.6863508157729,407.039744315327
"163","BS242",2022,403,39,"sober_chalk",1,1,79.0324539601867,79.0324539601867,NA
"164","BS244",2023,357,35,"sober_chalk",0,1,0.810085175056937,155.772940644786,NA
"165","BS245",2009,443,20,"sober_chalk",1,1,81.6710328562563,81.6710328562563,2518.27578639691
"166","BS245",2023,443,20,"sober_chalk",1,1,5.78169772006151,5.78169772006151,116117.720330886
"167","BS251",2011,866,18,"sober_chalk",0,1,1.0394095037659,1.0394095037659,63075.4903964269
"168","BS251",2014,866,18,"sober_chalk",0,1,2.67154667229287,2.67154667229287,51906.5382598672
"169","BS251",2019,866,18,"sober_chalk",0,1,8.73629439211924,8.73629439211924,9892.74510104211
"170","BS251",2022,866,18,"sober_chalk",0,1,8.39094160343418,8.39094160343418,NA
"171","BS272",2011,624,32,"chalk",1,1,17.6840888103732,17.6840888103732,46808.7385273181
